mn,pinion,g2,width,SH
15,15,90,225,1.447383323
15,15,90,165,1.304480851
5,14,98,50,0.271381639
10,13,104,60,0.558717301
1,15,90,6,0.019558774
15,11,44,255,1.182479739
15,15,60,225,1.380791394
1,15,120,15,0.032427751
20,12,48,300,1.618751687
5,14,56,55,0.259696373
10,12,60,60,0.482615932
5,15,120,100,0.416273625
10,13,91,170,0.878956755
20,12,72,200,1.492955639
10,15,60,170,0.921765108
15,13,104,90,0.994505696
20,13,65,300,1.74737928
15,11,77,300,1.259868198
1,15,105,12,0.02838876
1,14,98,20,0.034168302
1,15,60,13,0.026719288
15,12,48,90,0.835742543
1,13,91,13,0.025550005
1,12,48,17,0.024402287
10,13,65,150,0.798318483
15,11,66,195,1.141024743
15,11,77,180,1.121992004
15,15,105,165,1.324868213
20,12,72,260,1.607645445
15,11,66,255,1.22955648
1,11,77,10,0.018923004
5,15,75,85,0.35848494
10,12,72,130,0.712212997
15,13,65,150,1.171543276
1,12,60,17,0.02543979
5,11,88,50,0.216688652
10,12,60,200,0.834562841
15,14,84,150,1.233672893
5,11,55,30,0.156286752
10,14,70,100,0.712166039
15,13,78,255,1.328394202
20,14,84,220,1.724203721
5,14,98,60,0.297279377
20,12,96,300,1.717775972
1,13,104,6,0.017728652
1,12,96,13,0.024063117
5,12,96,85,0.308378379
1,14,112,20,0.034904531
20,14,84,260,1.778758148
5,14,84,75,0.324646633
10,13,52,120,0.697017859
5,13,104,100,0.361387843
10,12,84,60,0.507226283
20,11,55,260,1.476174066
1,14,112,15,0.030226835
10,12,72,150,0.760345598
10,13,65,100,0.662932779
15,13,52,180,1.202356913
1,14,112,17,0.032179509
20,13,104,400,1.968292056
15,11,88,255,1.231070915
1,13,65,6,0.016384299
5,11,77,85,0.277157171
5,12,60,100,0.310683673
5,12,72,65,0.258567472
15,14,70,180,1.255119042
20,13,104,260,1.738965067
5,13,65,55,0.250479828
5,14,98,85,0.352826231
10,11,88,150,0.727971847
15,15,90,300,1.562967221
10,15,120,120,0.882798218
10,15,90,100,0.782571277
15,11,88,165,1.100134497
15,13,65,90,0.934760265
5,11,77,50,0.212575192
1,14,98,6,0.018712386
10,15,75,150,0.913602882
15,15,120,150,1.291840053
10,13,52,100,0.64033663
1,13,52,13,0.023126786
15,11,55,180,1.075761904
15,13,65,195,1.256396164
1,13,52,15,0.024842538
15,11,66,90,0.817521548
5,11,88,30,0.167785561
1,15,75,6,0.018934797
20,12,60,260,1.575081277
20,11,77,120,1.240141811
10,12,84,200,0.875665597
20,15,60,300,1.877740796
20,15,60,200,1.690633538
15,14,84,165,1.253534896
5,15,60,85,0.344815136
5,11,55,75,0.247192902
20,14,70,200,1.649130789
20,13,65,260,1.670063897
5,11,44,65,0.221542999
1,11,77,15,0.023176611
5,13,104,85,0.334058813
10,13,78,110,0.712211831
1,11,55,11,0.01874822
10,11,77,130,0.669434411
20,14,98,220,1.75322512
15,14,70,195,1.277599946
15,14,56,255,1.342856873
20,12,60,400,1.788353638
5,14,112,30,0.214326595
20,15,60,240,1.798299766
10,11,66,150,0.699847023
10,11,77,60,0.465246845
20,11,88,400,1.763339498
10,14,98,120,0.813595464
10,15,60,150,0.881029641
20,15,90,340,2.009664257
20,14,70,220,1.705265284
15,13,78,180,1.225861527
1,14,56,11,0.02292516
1,12,84,6,0.016002179
1,14,98,12,0.026464743
10,11,55,170,0.718118505
15,15,90,150,1.285613543
15,15,75,300,1.528776775
5,15,120,65,0.338439706
20,13,91,120,1.339886259
10,11,44,100,0.544693354
5,14,70,50,0.257402511
20,12,48,240,1.529922659
20,15,120,120,1.526971464
20,11,88,260,1.539533504
1,12,72,12,0.02206282
5,11,44,85,0.25334097
20,13,104,120,1.355660615
20,11,66,340,1.647787157
15,13,104,180,1.260657164
20,13,65,340,1.814332335
5,13,52,50,0.229780347
5,13,52,75,0.281415182
5,15,90,85,0.369200326
20,15,105,120,1.505073561
20,12,72,240,1.596232213
15,15,120,300,1.597956009
20,11,44,260,1.444973446
10,15,105,170,0.999929585
5,15,105,75,0.356517789
20,15,60,340,1.94444301
20,11,55,300,1.550385993
10,15,120,60,0.643901134
20,14,112,300,1.91105211
20,11,88,300,1.614371243
1,11,88,10,0.019327156
1,14,56,17,0.028501178
5,14,70,100,0.362001916
20,15,90,200,1.758076502
1,15,60,20,0.033143375
20,14,56,240,1.708964021
20,13,104,200,1.625951106
1,13,52,10,0.020283062
5,13,78,85,0.320090157
5,13,78,60,0.269368741
10,12,72,170,0.798346685
5,14,84,30,0.205315149
1,15,90,20,0.03571415
15,12,48,300,1.280523686
1,14,112,12,0.027034965
10,14,112,130,0.856831284
1,12,96,15,0.025848319
20,13,52,300,1.701604806
10,15,60,120,0.797343304
10,12,84,100,0.644467746
5,11,88,85,0.282520296
5,13,78,65,0.280366247
10,11,88,110,0.630516064
